timestamp,P_L_kW,P_PV_kW,c_b,c_s,hour,weekday,is_workday
2016-01-11 17:00,0.481725,0.000000,0.3400,0.0600,17,0,1
2016-01-11 18:00,0.486398,0.000000,0.3400,0.0600,18,0,1
2016-01-11 19:00,0.490500,0.000000,0.3400,0.0600,19,0,1
2016-01-11 20:00,0.422044,0.000000,0.3400,0.0600,20,0,1
2016-01-11 21:00,0.388856,0.000000,0.3400,0.0600,21,0,1
2016-01-11 22:00,0.323881,0.000000,0.1600,0.0600,22,0,1
2016-01-11 23:00,0.268660,0.000000,0.1600,0.0600,23,0,1
2016-01-12 00:00,0.342300,0.000000,0.1600,0.0600,0,1,1
2016-01-12 01:00,0.308187,0.000000,0.1600,0.0600,1,1,1
2016-01-12 02:00,0.279952,0.000000,0.1600,0.0600,2,1,1
2016-01-12 03:00,0.271510,0.000000,0.1600,0.0600,3,1,1
2016-01-12 04:00,0.281421,0.000000,0.1600,0.0600,4,1,1
2016-01-12 05:00,0.365849,0.000000,0.1600,0.0600,5,1,1
2016-01-12 06:00,0.283909,0.000000,0.1600,0.0600,6,1,1
2016-01-12 07:00,0.369306,0.000000,0.2200,0.0600,7,1,1
2016-01-12 08:00,0.419438,0.000300,0.2200,0.0600,8,1,1
2016-01-12 09:00,0.473339,0.010251,0.2200,0.0600,9,1,1
2016-01-12 10:00,0.493568,0.038880,0.2200,0.0600,10,1,1
2016-01-12 11:00,0.510818,0.061959,0.2200,0.0600,11,1,1
2016-01-12 12:00,0.514183,0.068944,0.2200,0.0600,12,1,1
2016-01-12 13:00,0.533974,0.057576,0.2200,0.0600,13,1,1
2016-01-12 14:00,0.519894,0.031708,0.2200,0.0600,14,1,1
2016-01-12 15:00,0.487368,0.005052,0.2200,0.0600,15,1,1
2016-01-12 16:00,0.465486,0.000000,0.2200,0.0600,16,1,1
2016-01-12 17:00,0.487178,0.000000,0.3400,0.0600,17,1,1
2016-01-12 18:00,0.519922,0.000000,0.3400,0.0600,18,1,1
2016-01-12 19:00,0.499501,0.000000,0.3400,0.0600,19,1,1
2016-01-12 20:00,0.428397,0.000000,0.3400,0.0600,20,1,1
2016-01-12 21:00,0.367597,0.000000,0.3400,0.0600,21,1,1
2016-01-12 22:00,0.306714,0.000000,0.1600,0.0600,22,1,1
2016-01-12 23:00,0.292421,0.000000,0.1600,0.0600,23,1,1
2016-01-13 00:00,0.342326,0.000000,0.1600,0.0600,0,2,1
2016-01-13 01:00,0.337073,0.000000,0.1600,0.0600,1,2,1
2016-01-13 02:00,0.335700,0.000000,0.1600,0.0600,2,2,1
2016-01-13 03:00,0.332638,0.000000,0.1600,0.0600,3,2,1
2016-01-13 04:00,0.338690,0.000000,0.1600,0.0600,4,2,1
2016-01-13 05:00,0.381352,0.000000,0.1600,0.0600,5,2,1
2016-01-13 06:00,0.315295,0.000000,0.1600,0.0600,6,2,1
2016-01-13 07:00,0.392842,0.000000,0.2200,0.0600,7,2,1
2016-01-13 08:00,0.474173,0.000271,0.2200,0.0600,8,2,1
2016-01-13 09:00,0.498221,0.009078,0.2200,0.0600,9,2,1
2016-01-13 10:00,0.485929,0.033792,0.2200,0.0600,10,2,1
2016-01-13 11:00,0.497532,0.053651,0.2200,0.0600,11,2,1
2016-01-13 12:00,0.552481,0.059729,0.2200,0.0600,12,2,1
2016-01-13 13:00,0.569174,0.050091,0.2200,0.0600,13,2,1
2016-01-13 14:00,0.547419,0.027942,0.2200,0.0600,14,2,1
2016-01-13 15:00,0.529959,0.004740,0.2200,0.0600,15,2,1
2016-01-13 16:00,0.519341,0.000000,0.2200,0.0600,16,2,1
2016-01-13 17:00,0.507426,0.000000,0.3400,0.0600,17,2,1
2016-01-13 18:00,0.551306,0.000000,0.3400,0.0600,18,2,1
2016-01-13 19:00,0.513639,0.000000,0.3400,0.0600,19,2,1
2016-01-13 20:00,0.493058,0.000000,0.3400,0.0600,20,2,1
2016-01-13 21:00,0.406950,0.000000,0.3400,0.0600,21,2,1
2016-01-13 22:00,0.321407,0.000000,0.1600,0.0600,22,2,1
2016-01-13 23:00,0.238056,0.000000,0.1600,0.0600,23,2,1
2016-01-14 00:00,0.319205,0.000000,0.1600,0.0600,0,3,1
2016-01-14 01:00,0.313134,0.000000,0.1600,0.0600,1,3,1
2016-01-14 02:00,0.310632,0.000000,0.1600,0.0600,2,3,1
2016-01-14 03:00,0.334176,0.000000,0.1600,0.0600,3,3,1
2016-01-14 04:00,0.320961,0.000000,0.1600,0.0600,4,3,1
2016-01-14 05:00,0.361079,0.000000,0.1600,0.0600,5,3,1
2016-01-14 06:00,0.300653,0.000000,0.1600,0.0600,6,3,1
2016-01-14 07:00,0.407758,0.000000,0.2200,0.0600,7,3,1
2016-01-14 08:00,0.486377,0.000286,0.2200,0.0600,8,3,1
2016-01-14 09:00,0.499744,0.009407,0.2200,0.0600,9,3,1
2016-01-14 10:00,0.499023,0.034337,0.2200,0.0600,10,3,1
2016-01-14 11:00,0.491779,0.054300,0.2200,0.0600,11,3,1
2016-01-14 12:00,0.516641,0.060474,0.2200,0.0600,12,3,1
2016-01-14 13:00,0.551417,0.050927,0.2200,0.0600,13,3,1
2016-01-14 14:00,0.541157,0.028772,0.2200,0.0600,14,3,1
2016-01-14 15:00,0.551333,0.005185,0.2200,0.0600,15,3,1
2016-01-14 16:00,0.527964,0.000000,0.2200,0.0600,16,3,1
2016-01-14 17:00,0.481338,0.000000,0.3400,0.0600,17,3,1
2016-01-14 18:00,0.448334,0.000000,0.3400,0.0600,18,3,1
2016-01-14 19:00,0.410401,0.000000,0.3400,0.0600,19,3,1
2016-01-14 20:00,0.384381,0.000000,0.3400,0.0600,20,3,1
2016-01-14 21:00,0.354653,0.000000,0.3400,0.0600,21,3,1
2016-01-14 22:00,0.281054,0.000000,0.1600,0.0600,22,3,1
2016-01-14 23:00,0.250494,0.000000,0.1600,0.0600,23,3,1
2016-01-15 00:00,0.296363,0.000000,0.1600,0.0600,0,4,1
2016-01-15 01:00,0.315492,0.000000,0.1600,0.0600,1,4,1
2016-01-15 02:00,0.271550,0.000000,0.1600,0.0600,2,4,1
2016-01-15 03:00,0.307116,0.000000,0.1600,0.0600,3,4,1
2016-01-15 04:00,0.340841,0.000000,0.1600,0.0600,4,4,1
2016-01-15 05:00,0.377819,0.000000,0.1600,0.0600,5,4,1
2016-01-15 06:00,0.312782,0.000000,0.1600,0.0600,6,4,1
2016-01-15 07:00,0.390037,0.000000,0.2200,0.0600,7,4,1
2016-01-15 08:00,0.438591,0.000319,0.2200,0.0600,8,4,1
2016-01-15 09:00,0.470144,0.010317,0.2200,0.0600,9,4,1
2016-01-15 10:00,0.478544,0.036899,0.2200,0.0600,10,4,1
2016-01-15 11:00,0.513094,0.058106,0.2200,0.0600,11,4,1
2016-01-15 12:00,0.543045,0.064731,0.2200,0.0600,12,4,1
2016-01-15 13:00,0.544962,0.054734,0.2200,0.0600,13,4,1
2016-01-15 14:00,0.514127,0.031314,0.2200,0.0600,14,4,1
2016-01-15 15:00,0.525694,0.005984,0.2200,0.0600,15,4,1
2016-01-15 16:00,0.516299,0.000024,0.2200,0.0600,16,4,1
2016-01-15 17:00,0.507600,0.000000,0.3400,0.0600,17,4,1
2016-01-15 18:00,0.525535,0.000000,0.3400,0.0600,18,4,1
2016-01-15 19:00,0.480710,0.000000,0.3400,0.0600,19,4,1
2016-01-15 20:00,0.434634,0.000000,0.3400,0.0600,20,4,1
2016-01-15 21:00,0.362694,0.000000,0.3400,0.0600,21,4,1
2016-01-15 22:00,0.270022,0.000000,0.1600,0.0600,22,4,1
2016-01-15 23:00,0.238780,0.000000,0.1600,0.0600,23,4,1
2016-01-16 00:00,0.364979,0.000000,0.2000,0.0600,0,5,0
2016-01-16 01:00,0.375261,0.000000,0.2000,0.0600,1,5,0
2016-01-16 02:00,0.382811,0.000000,0.2000,0.0600,2,5,0
2016-01-16 03:00,0.374769,0.000000,0.2000,0.0600,3,5,0
2016-01-16 04:00,0.378805,0.000000,0.2000,0.0600,4,5,0
2016-01-16 05:00,0.416918,0.000000,0.2000,0.0600,5,5,0
2016-01-16 06:00,0.335845,0.000000,0.2000,0.0600,6,5,0
2016-01-16 07:00,0.427784,0.000000,0.2000,0.0600,7,5,0
2016-01-16 08:00,0.487916,0.000290,0.2000,0.0600,8,5,0
2016-01-16 09:00,0.510445,0.009224,0.2000,0.0600,9,5,0
2016-01-16 10:00,0.500303,0.032304,0.2000,0.0600,10,5,0
2016-01-16 11:00,0.512639,0.050644,0.2000,0.0600,11,5,0
2016-01-16 12:00,0.561598,0.056428,0.2000,0.0600,12,5,0
2016-01-16 13:00,0.577222,0.047905,0.2000,0.0600,13,5,0
2016-01-16 14:00,0.576966,0.027748,0.2000,0.0600,14,5,0
2016-01-16 15:00,0.537173,0.005612,0.2000,0.0600,15,5,0
2016-01-16 16:00,0.552843,0.000051,0.2000,0.0600,16,5,0
2016-01-16 17:00,0.529345,0.000000,0.2000,0.0600,17,5,0
2016-01-16 18:00,0.541570,0.000000,0.2000,0.0600,18,5,0
2016-01-16 19:00,0.543093,0.000000,0.2000,0.0600,19,5,0
2016-01-16 20:00,0.466286,0.000000,0.2000,0.0600,20,5,0
2016-01-16 21:00,0.395591,0.000000,0.2000,0.0600,21,5,0
2016-01-16 22:00,0.385305,0.000000,0.2000,0.0600,22,5,0
2016-01-16 23:00,0.337655,0.000000,0.2000,0.0600,23,5,0
2016-01-17 00:00,0.373957,0.000000,0.2000,0.0600,0,6,0
2016-01-17 01:00,0.396627,0.000000,0.2000,0.0600,1,6,0
2016-01-17 02:00,0.374245,0.000000,0.2000,0.0600,2,6,0
2016-01-17 03:00,0.387334,0.000000,0.2000,0.0600,3,6,0
2016-01-17 04:00,0.399040,0.000000,0.2000,0.0600,4,6,0
2016-01-17 05:00,0.438365,0.000000,0.2000,0.0600,5,6,0
2016-01-17 06:00,0.390963,0.000000,0.2000,0.0600,6,6,0
2016-01-17 07:00,0.429623,0.000000,0.2000,0.0600,7,6,0
2016-01-17 08:00,0.519483,0.000374,0.2000,0.0600,8,6,0
2016-01-17 09:00,0.542826,0.011736,0.2000,0.0600,9,6,0
2016-01-17 10:00,0.555592,0.040228,0.2000,0.0600,10,6,0
2016-01-17 11:00,0.544305,0.062773,0.2000,0.0600,11,6,0
2016-01-17 12:00,0.554221,0.069947,0.2000,0.0600,12,6,0
2016-01-17 13:00,0.536992,0.059617,0.2000,0.0600,13,6,0
2016-01-17 14:00,0.568176,0.034956,0.2000,0.0600,14,6,0
2016-01-17 15:00,0.549085,0.007465,0.2000,0.0600,15,6,0
2016-01-17 16:00,0.528747,0.000101,0.2000,0.0600,16,6,0
2016-01-17 17:00,0.555659,0.000000,0.2000,0.0600,17,6,0
2016-01-17 18:00,0.566347,0.000000,0.2000,0.0600,18,6,0
2016-01-17 19:00,0.509300,0.000000,0.2000,0.0600,19,6,0
2016-01-17 20:00,0.463068,0.000000,0.2000,0.0600,20,6,0
2016-01-17 21:00,0.409990,0.000000,0.2000,0.0600,21,6,0
2016-01-17 22:00,0.378909,0.000000,0.2000,0.0600,22,6,0
2016-01-17 23:00,0.308578,0.000000,0.2000,0.0600,23,6,0
2016-01-18 00:00,0.321384,0.000000,0.1600,0.0600,0,0,1
2016-01-18 01:00,0.324403,0.000000,0.1600,0.0600,1,0,1
2016-01-18 02:00,0.331395,0.000000,0.1600,0.0600,2,0,1
2016-01-18 03:00,0.308881,0.000000,0.1600,0.0600,3,0,1
2016-01-18 04:00,0.328970,0.000000,0.1600,0.0600,4,0,1
2016-01-18 05:00,0.366331,0.000000,0.1600,0.0600,5,0,1
2016-01-18 06:00,0.317189,0.000000,0.1600,0.0600,6,0,1
2016-01-18 07:00,0.392924,0.000000,0.2200,0.0600,7,0,1
